# f_opt	nfev
3.686176915175907497e-10 1.460000000000000000e+02
1.610146734541837791e-09 2.880000000000000000e+02
1.000275327832757620e-08 5.270000000000000000e+02
3.560263265291296031e-09 7.780000000000000000e+02
1.704098231255015582e-08 1.147000000000000000e+03
4.508599423942210682e-09 1.523000000000000000e+03
1.088689520180747549e-08 2.015000000000000000e+03
6.385861055560546755e-09 2.497000000000000000e+03
1.464624556242862919e-08 3.179000000000000000e+03
9.633606046402746789e-09 3.888000000000000000e+03
9.497729079620074368e-09 4.741000000000000000e+03
1.090271136123300508e-08 5.706000000000000000e+03
1.080768437358050492e-08 7.394000000000000000e+03
2.230800441586561041e-08 8.574000000000000000e+03
1.077811334649090747e-08 1.127500000000000000e+04
1.458929623545805079e-08 1.254300000000000000e+04
1.891820914004471661e-08 1.427400000000000000e+04
2.042262533701482526e-08 1.848400000000000000e+04
1.063565659584935804e-08 2.163100000000000000e+04
1.869054781840292884e-08 2.605100000000000000e+04
1.310726348369970702e-08 2.935500000000000000e+04
9.961347696812082964e-09 3.687200000000000000e+04
1.275014070805309812e-08 4.419600000000000000e+04
1.367756953847755544e-08 5.358200000000000000e+04
1.846849626363328368e-08 5.961100000000000000e+04
1.339582221580817015e-08 7.012300000000000000e+04
1.074320696423471916e-08 7.459300000000000000e+04
1.097987160810774989e-08 8.557000000000000000e+04
2.415546072139664436e-08 9.410800000000000000e+04
1.573066157918158290e-08 1.135240000000000000e+05
1.189473789224771373e-08 1.254780000000000000e+05
1.886589905534533383e-08 1.439900000000000000e+05
1.693567017852458242e-08 1.484730000000000000e+05
1.108982669977096334e-08 1.837980000000000000e+05
