# f_opt	nfev
2.380405130199793667e-18 5.000000000000000000e+01
3.867022867894424485e-17 7.600000000000000000e+01
2.496683469279033533e-16 9.000000000000000000e+01
2.837161995525225437e-16 1.000000000000000000e+02
2.608159427266884570e-19 1.060000000000000000e+02
1.624216017943092344e-17 1.160000000000000000e+02
7.004332502262576886e-17 1.400000000000000000e+02
5.788072198577178322e-18 1.560000000000000000e+02
6.987594853445419352e-16 1.680000000000000000e+02
1.308730910054863207e-15 1.600000000000000000e+02
2.985739213762405450e-17 1.840000000000000000e+02
1.003573916187364829e-17 1.920000000000000000e+02
8.999838231999558717e-16 2.180000000000000000e+02
2.608386372809082932e-16 2.160000000000000000e+02
2.650705344656240336e-16 2.220000000000000000e+02
9.751242623754341087e-16 2.620000000000000000e+02
9.164327864322961656e-16 2.680000000000000000e+02
4.796371070572832412e-16 2.800000000000000000e+02
1.860585804943065731e-16 2.780000000000000000e+02
5.496356389562810768e-17 3.100000000000000000e+02
9.908246129760235719e-17 3.360000000000000000e+02
3.692310113109374853e-16 3.180000000000000000e+02
7.793721529419006882e-17 3.380000000000000000e+02
2.342971141201694871e-16 3.500000000000000000e+02
3.156726339686699049e-16 3.640000000000000000e+02
7.808891609097525644e-17 3.860000000000000000e+02
9.153569059468126637e-16 3.780000000000000000e+02
2.991390400341497302e-16 3.940000000000000000e+02
6.298103036188654992e-16 4.060000000000000000e+02
2.381553817642739172e-15 4.380000000000000000e+02
3.397515147758572257e-16 4.500000000000000000e+02
7.889665563180842261e-16 4.360000000000000000e+02
6.464707704566242370e-16 4.540000000000000000e+02
6.758360136277485303e-16 4.680000000000000000e+02
