# f_opt	nfev
2.639693534585892236e-13 1.080000000000000000e+02
9.268426827224944707e-21 1.340000000000000000e+02
2.254065840384731173e-14 2.660000000000000000e+02
1.262398386866461067e-13 6.380000000000000000e+02
3.122759774708233014e-15 4.700000000000000000e+02
2.806971573646557433e-13 5.040000000000000000e+02
8.102927814009956399e-14 8.840000000000000000e+02
2.387147139963854462e-19 7.700000000000000000e+02
7.570161504695262126e-13 9.180000000000000000e+02
9.974056801185435629e-14 9.300000000000000000e+02
8.134264606571508251e-13 1.280000000000000000e+03
3.280256205640285020e-13 9.980000000000000000e+02
1.539769103704061465e-13 9.380000000000000000e+02
5.105622188456179852e-13 1.302000000000000000e+03
8.951433014182229173e-13 1.228000000000000000e+03
6.057967497552585629e-14 1.132000000000000000e+03
9.537999002581409890e-14 9.180000000000000000e+02
3.572087666938303859e-13 1.304000000000000000e+03
2.852041055611872528e-14 1.352000000000000000e+03
1.006140560273867457e-12 1.518000000000000000e+03
2.396726541639047649e-13 1.464000000000000000e+03
8.000707343777736035e-15 1.498000000000000000e+03
8.429637589547853058e-14 1.564000000000000000e+03
2.603186230850691164e-13 1.730000000000000000e+03
3.091996589223938102e-14 1.588000000000000000e+03
3.022453914932850209e-16 1.664000000000000000e+03
2.313802326622884665e-13 1.760000000000000000e+03
1.592844861898504375e-13 1.674000000000000000e+03
5.722109975719774286e-13 1.608000000000000000e+03
1.214050081299648112e-12 1.886000000000000000e+03
1.959989610249327776e-13 1.978000000000000000e+03
1.333345676920586454e-12 1.834000000000000000e+03
6.282048693225844556e-15 1.774000000000000000e+03
7.406245699328704374e-13 2.020000000000000000e+03
