# f_opt	nfev
1.223068238121533486e-10 1.200000000000000000e+03
8.494714938959850578e-08 2.700000000000000000e+03
1.420727451976443444e-07 6.780000000000000000e+03
8.251187643547167346e-08 1.215000000000000000e+04
3.356596361640506206e-07 1.935000000000000000e+04
8.350985724095536532e-08 2.971500000000000000e+04
2.729969720752714211e-07 3.984000000000000000e+04
3.980956226705973065e-07 4.509000000000000000e+04
2.638233806564588669e-07 6.180000000000000000e+04
3.411369337626668125e-07 7.870500000000000000e+04
6.691840669996262435e-07 1.060200000000000000e+05
4.083235379487688159e-07 1.177800000000000000e+05
1.211717461701119983e-06 1.383900000000000000e+05
4.038607502188690468e+00 9.202500000000000000e+04
1.107466710764072562e-06 1.852800000000000000e+05
9.193182331535678130e-07 2.106300000000000000e+05
9.715416499345108333e-07 2.308500000000000000e+05
1.121644940267730125e-06 2.505150000000000000e+05
1.019367217425340471e-06 2.904000000000000000e+05
1.005349944712189585e-06 3.335850000000000000e+05
1.546295137431689664e-06 3.742200000000000000e+05
1.150998773728443430e-06 4.157250000000000000e+05
1.396663898088516021e-06 4.536000000000000000e+05
2.645095340883597161e-06 4.848750000000000000e+05
2.537002894936572517e+01 5.031000000000000000e+04
1.203841021235168808e-06 6.318000000000000000e+05
2.621445653754218696e+01 6.258000000000000000e+04
2.289438938664567758e+01 7.960500000000000000e+04
2.602870377589586681e+01 9.675000000000000000e+04
3.027653562407958887e+01 6.882000000000000000e+04
2.834600255415853098e+01 8.976000000000000000e+04
3.054070159177433297e+01 8.118000000000000000e+04
3.086258485150100839e+01 9.690000000000000000e+04
3.299461904706976867e+01 8.557500000000000000e+04
