# ta	tb	m
5.000000000000000000e+00 5.000000000000000000e+00 8.733627576979625218e+00
4.126637242302037656e+00 4.126637242302037656e+00 7.208102563912045291e+00
1.000000000000000056e-01 1.000000000000000056e-01 1.746725515395924910e-01
3.723973518071833855e+00 3.723973518071833855e+00 6.504759562674800044e+00
1.000000000000000888e-01 1.000000000000014211e-01 1.746725515395938233e-01
3.361576166264650389e+00 3.361576166264650389e+00 5.871750861561278789e+00
1.000000000000000888e-01 1.000000000000000888e-01 1.746725515395926576e-01
3.035418549638185581e+00 3.035418549638185581e+00 5.302043030559110193e+00
1.000000000722724991e-01 1.000000000725465021e-01 1.746725516660720123e-01
2.741876694681594451e+00 2.741876694681621540e+00 4.789305982669806561e+00
1.000000000000000888e-01 1.000000000000000888e-01 1.746725515395926576e-01
2.477689025213435148e+00 2.477689025213459573e+00 4.327842639556784832e+00
1.000000000000000888e-01 1.000000000000000888e-01 1.746725515395926576e-01
2.239920122692091731e+00 2.239920122692113491e+00 3.912525630755065986e+00
1.000004244495023009e-01 1.000004244737384695e-01 1.746732929575351145e-01
2.025928152867832566e+00 2.025928152870275945e+00 3.538740396975312841e+00
1.000077651917035126e-01 1.000077654075417488e-01 1.746861153865780225e-01
1.833336114100219572e+00 1.833336114124002547e+00 3.202334968816439087e+00
4.705857529965757902e-01 1.000645764930401249e-01 4.983847454443018909e-01
1.697061077989855171e+00 1.660008960360906283e+00 2.931939946479225512e+00
1.315767107979487704e+00 1.000000835230370200e-01 1.236478338628944407e+00
1.658931680988818380e+00 1.504008072677119223e+00 2.762393785694197135e+00
8.300782674750887269e-01 1.000002269008506417e-01 8.122959187237392964e-01
1.576046339637445337e+00 1.363607288099492276e+00 2.567383998997151640e+00
9.489109589773847553e-01 1.000000000000000888e-01 9.160797677121031990e-01
1.513332801571439346e+00 1.237246559289542969e+00 2.402253575868646518e+00
1.020090754468368388e+00 1.000000000000000888e-01 9.782455501944856691e-01
1.464008596861132272e+00 1.123521903360588770e+00 2.259852773301230577e+00
1.065835911370503375e+00 1.000000000000000888e-01 1.018197666577860261e+00
1.424191328312069293e+00 1.021169713024529857e+00 2.135687262628893190e+00
1.096677181550588021e+00 1.000000000000000056e-01 1.045133283353246956e+00
1.391439913635921233e+00 9.290527417220768580e-01 2.026631864701328389e+00
1.118237731525899115e+00 1.000000000000000056e-01 1.063963464737169407e+00
1.364119695424919065e+00 8.461474675498691367e-01 1.930365024704912891e+00
1.133799658388107590e+00 1.000008825562018755e-01 1.077555442888359805e+00
1.341087691721237984e+00 7.715328090505023662e-01 1.845084066523257516e+00
1.145454211627304542e+00 1.000003386673886663e-01 1.087733620632848952e+00
1.321524343711844685e+00 7.043795620121909851e-01 1.769349021934216726e+00
1.154732020870133047e+00 1.000000575912031175e-01 1.095836268217088794e+00
1.304845111427673565e+00 6.439416115700922205e-01 1.701997746562504021e+00
1.163133209446218119e+00 1.000000000000000056e-01 1.103173503141827050e+00
1.290673921229527954e+00 5.895474504130829851e-01 1.642115322220436324e+00
1.173040288169279410e+00 1.000000000000000056e-01 1.111825976736130706e+00
1.278910557923503166e+00 5.405927053717747288e-01 1.589086387672005829e+00
1.190440514247032011e+00 1.000000000000000056e-01 1.127022686167964860e+00
1.270063553555855984e+00 4.965334348345972204e-01 1.542880017521601754e+00
1.222862657637838746e+00 1.733953948081099483e-01 1.219439783142179934e+00
1.265343463964054171e+00 4.642196308319485043e-01 1.510535994083659350e+00
1.197100520945152624e+00 4.007939158562860982e-01 1.395541491835137204e+00
1.159052938749001616e+00 4.300405573710739393e-01 1.387855078011325682e+00
1.179444871951765617e+00 4.143655650128191259e-01 1.391974678475184302e+00
1.198538921228627041e+00 4.202742989682807795e-01 1.413811178189090301e+00
1.195440945911534270e+00 4.239656082248515201e-01 1.414329373954708702e+00
1.198229123696917808e+00 4.206434298939378258e-01 1.413862997765652274e+00
1.198793689140982055e+00 4.206613205353831320e-01 1.414371693218730686e+00
1.198790230169648474e+00 4.206657871724893138e-01 1.414372573276488687e+00
